2,0,0
3,1,0
5,3,0
7,5,0
11,9,0
13,11,0
17,15,0
19,17,0
23,21,0
29,27,0
31,29,0
37,35,0
41,39,0
43,41,0
47,45,0
53,1,1
59,7,1
61,9,1
67,15,1
71,19,1
73,21,1
79,27,1
83,31,1
89,37,1
97,45,1
101,49,1
103,1,2
107,5,2
109,7,2
113,11,2
127,25,2
131,29,2
137,35,2
139,37,2
149,47,2
151,49,2
157,5,3
163,11,3
167,15,3
173,21,3
179,27,3
181,29,3
191,39,3
193,41,3
197,45,3
199,47,3
211,9,4
223,21,4
227,25,4
229,27,4
233,31,4
239,37,4
241,39,4
251,49,4
257,5,5
263,11,5
269,17,5
271,19,5
277,25,5
281,29,5
283,31,5
293,41,5
307,5,6
311,9,6
313,11,6
317,15,6
331,29,6
337,35,6
347,45,6
349,47,6
353,1,7
359,7,7
367,15,7
373,21,7
379,27,7
383,31,7
389,37,7
397,45,7
401,49,7
409,7,8
419,17,8
421,19,8
431,29,8
433,31,8
439,37,8
443,41,8
449,47,8
457,5,9
461,9,9
463,11,9
467,15,9
479,27,9
487,35,9
491,39,9
499,47,9
503,1,10
509,7,10
521,19,10
523,21,10
541,39,10
547,45,10
557,5,11
563,11,11
569,17,11
571,19,11
577,25,11
587,35,11
593,41,11
599,47,11
601,49,11
607,5,12
613,11,12
617,15,12
619,17,12
631,29,12
641,39,12
643,41,12
647,45,12
653,1,13
659,7,13
661,9,13
673,21,13
677,25,13
683,31,13
691,39,13
701,49,13
709,7,14
719,17,14
727,25,14
733,31,14
739,37,14
743,41,14
751,49,14
757,5,15
761,9,15
769,17,15
773,21,15
787,35,15
797,45,15
809,7,16
811,9,16
821,19,16
823,21,16
827,25,16
829,27,16
839,37,16
853,1,17
857,5,17
859,7,17
863,11,17
877,25,17
881,29,17
883,31,17
887,35,17
907,5,18
911,9,18
919,17,18
929,27,18
937,35,18
941,39,18
947,45,18
953,1,19
967,15,19
971,19,19
977,25,19
983,31,19
991,39,19
997,45,19
1009,7,20
1013,11,20
1019,17,20
1021,19,20
1031,29,20
1033,31,20
1039,37,20
1049,47,20
1051,49,20
1061,9,21
1063,11,21
1069,17,21
1087,35,21
1091,39,21
1093,41,21
1097,45,21
1103,1,22
1109,7,22
1117,15,22
1123,21,22
1129,27,22
1151,49,22
1153,1,23
1163,11,23
1171,19,23
1181,29,23
1187,35,23
1193,41,23
1201,49,23
1213,11,24
1217,15,24
1223,21,24
1229,27,24
1231,29,24
1237,35,24
1249,47,24
1259,7,25
1277,25,25
1279,27,25
1283,31,25
1289,37,25
1291,39,25
1297,45,25
1301,49,25
1303,1,26
1307,5,26
1319,17,26
1321,19,26
1327,25,26
1361,9,27
1367,15,27
1373,21,27
1381,29,27
1399,47,27
1409,7,28
1423,21,28
1427,25,28
1429,27,28
1433,31,28
1439,37,28
1447,45,28
1451,49,28
1453,1,29
1459,7,29
1471,19,29
1481,29,29
1483,31,29
1487,35,29
1489,37,29
1493,41,29
1499,47,29
1511,9,30
1523,21,30
1531,29,30
1543,41,30
1549,47,30
1553,1,31
1559,7,31
1567,15,31
1571,19,31
1579,27,31
1583,31,31
1597,45,31
1601,49,31
1607,5,32
1609,7,32
1613,11,32
1619,17,32
1621,19,32
1627,25,32
1637,35,32
1657,5,33
1663,11,33
1667,15,33
1669,17,33
1693,41,33
1697,45,33
1699,47,33
1709,7,34
1721,19,34
1723,21,34
1733,31,34
1741,39,34
1747,45,34
1753,1,35
1759,7,35
1777,25,35
1783,31,35
1787,35,35
1789,37,35
1801,49,35
1811,9,36
1823,21,36
1831,29,36
1847,45,36
1861,9,37
1867,15,37
1871,19,37
1873,21,37
1877,25,37
1879,27,37
1889,37,37
1901,49,37
1907,5,38
1913,11,38
1931,29,38
1933,31,38
1949,47,38
1951,49,38
1973,21,39
1979,27,39
1987,35,39
1993,41,39
1997,45,39
1999,47,39
2003,1,40
2011,9,40
2017,15,40
2027,25,40
2029,27,40
2039,37,40
2053,1,41
2063,11,41
2069,17,41
2081,29,41
2083,31,41
2087,35,41
2089,37,41
2099,47,41
2111,9,42
2113,11,42
2129,27,42
2131,29,42
2137,35,42
2141,39,42
2143,41,42
2153,1,43
2161,9,43
2179,27,43
2203,1,44
2207,5,44
2213,11,44
2221,19,44
2237,35,44
2239,37,44
2243,41,44
2251,49,44
2267,15,45
2269,17,45
2273,21,45
2281,29,45
2287,35,45
2293,41,45
2297,45,45
2309,7,46
2311,9,46
2333,31,46
2339,37,46
2341,39,46
2347,45,46
2351,49,46
2357,5,47
2371,19,47
2377,25,47
2381,29,47
2383,31,47
2389,37,47
2393,41,47
2399,47,47
2411,9,48
2417,15,48
2423,21,48
2437,35,48
2441,39,48
2447,45,48
2459,7,49
2467,15,49
2473,21,49
2477,25,49
2503,1,50
2521,19,50
2531,29,50
2539,37,50
2543,41,50
2549,47,50
2551,49,50
2557,5,51
2579,27,51
2591,39,51
2593,41,51
2609,7,52
2617,15,52
2621,19,52
2633,31,52
2647,45,52
2657,5,53
2659,7,53
2663,11,53
2671,19,53
2677,25,53
2683,31,53
2687,35,53
2689,37,53
2693,41,53
2699,47,53
2707,5,54
2711,9,54
2713,11,54
2719,17,54
2729,27,54
2731,29,54
2741,39,54
2749,47,54
2753,1,55
2767,15,55
2777,25,55
2789,37,55
2791,39,55
2797,45,55
2801,49,55
2803,1,56
2819,17,56
2833,31,56
2837,35,56
2843,41,56
2851,49,56
2857,5,57
2861,9,57
2879,27,57
2887,35,57
2897,45,57
2903,1,58
2909,7,58
2917,15,58
2927,25,58
2939,37,58
2953,1,59
2957,5,59
2963,11,59
2969,17,59
2971,19,59
2999,47,59
3001,49,59
3011,9,60
3019,17,60
3023,21,60
3037,35,60
3041,39,60
3049,47,60
3061,9,61
3067,15,61
3079,27,61
3083,31,61
3089,37,61
3109,7,62
3119,17,62
3121,19,62
3137,35,62
3163,11,63
3167,15,63
3169,17,63
3181,29,63
3187,35,63
3191,39,63
3203,1,64
3209,7,64
3217,15,64
3221,19,64
3229,27,64
3251,49,64
3253,1,65
3257,5,65
3259,7,65
3271,19,65
3299,47,65
3301,49,65
3307,5,66
3313,11,66
3319,17,66
3323,21,66
3329,27,66
3331,29,66
3343,41,66
3347,45,66
3359,7,67
3361,9,67
3371,19,67
3373,21,67
3389,37,67
3391,39,67
3407,5,68
3413,11,68
3433,31,68
3449,47,68
3457,5,69
3461,9,69
3463,11,69
3467,15,69
3469,17,69
3491,39,69
3499,47,69
3511,9,70
3517,15,70
3527,25,70
3529,27,70
3533,31,70
3539,37,70
3541,39,70
3547,45,70
3557,5,71
3559,7,71
3571,19,71
3581,29,71
3583,31,71
3593,41,71
3607,5,72
3613,11,72
3617,15,72
3623,21,72
3631,29,72
3637,35,72
3643,41,72
3659,7,73
3671,19,73
3673,21,73
3677,25,73
3691,39,73
3697,45,73
3701,49,73
3709,7,74
3719,17,74
3727,25,74
3733,31,74
3739,37,74
3761,9,75
3767,15,75
3769,17,75
3779,27,75
3793,41,75
3797,45,75
3803,1,76
3821,19,76
3823,21,76
3833,31,76
3847,45,76
3851,49,76
3853,1,77
3863,11,77
3877,25,77
3881,29,77
3889,37,77
3907,5,78
3911,9,78
3917,15,78
3919,17,78
3923,21,78
3929,27,78
3931,29,78
3943,41,78
3947,45,78
3967,15,79
3989,37,79
4001,49,79
4003,1,80
4007,5,80
4013,11,80
4019,17,80
4021,19,80
4027,25,80
4049,47,80
4051,49,80
4057,5,81
4073,21,81
4079,27,81
4091,39,81
4093,41,81
4099,47,81
4111,9,82
4127,25,82
4129,27,82
4133,31,82
4139,37,82
4153,1,83
4157,5,83
4159,7,83
4177,25,83
4201,49,83
4211,9,84
4217,15,84
4219,17,84
4229,27,84
4231,29,84
4241,39,84
